dataset,model,source_label,feature_name,trial_type,alpha_aug,alpha_mix_json,recdim,seed,trial_idx,lr,decay,topks,final_epoch,final_loss,training_time_seconds,precision@100,recall@100,ndcg@100
lastfm-asia,lgn,10,Country,proportional,1.0,"{""0"": 0.3469721767594108, ""17"": 0.48870703764320783, ""3"": 0.16432078559738134}",2,2221,1,0.1,0.01,[100],40,0.415,26.99836873402819,0.18546245,0.24911269,0.29574884
lastfm-asia,lgn,10,Country,proportional,1.0,"{""0"": 0.3469721767594108, ""17"": 0.48870703764320783, ""3"": 0.16432078559738134}",2,2222,2,0.1,0.01,[100],40,0.429,24.743814622983336,0.16104348,0.20684463,0.23767617
lastfm-asia,lgn,10,Country,proportional,1.0,"{""0"": 0.3469721767594108, ""17"": 0.48870703764320783, ""3"": 0.16432078559738134}",2,2223,3,0.1,0.01,[100],40,0.413,24.462954064947553,0.18573123,0.24921857,0.29718634
lastfm-asia,lgn,10,Country,proportional,1.0,"{""0"": 0.3469721767594108, ""17"": 0.48870703764320783, ""3"": 0.16432078559738134}",2,2224,4,0.1,0.01,[100],40,0.426,25.47172391694039,0.17871146,0.24355773,0.2847902
lastfm-asia,lgn,10,Country,proportional,1.0,"{""0"": 0.3469721767594108, ""17"": 0.48870703764320783, ""3"": 0.16432078559738134}",2,2225,5,0.1,0.01,[100],40,0.414,24.398446840932593,0.18475889,0.2481158,0.29577008
lastfm-asia,lgn,10,Country,proportional,1.0,"{""0"": 0.3469721767594108, ""17"": 0.48870703764320783, ""3"": 0.16432078559738134}",2,2226,6,0.1,0.01,[100],40,0.428,24.53124995599501,0.16344664,0.21472353,0.24557479
lastfm-asia,lgn,10,Country,proportional,1.0,"{""0"": 0.3469721767594108, ""17"": 0.48870703764320783, ""3"": 0.16432078559738134}",2,2227,7,0.1,0.01,[100],40,0.413,26.494333127047867,0.18506719,0.24867596,0.29582454
lastfm-asia,lgn,10,Country,proportional,1.0,"{""0"": 0.3469721767594108, ""17"": 0.48870703764320783, ""3"": 0.16432078559738134}",2,2228,8,0.1,0.01,[100],40,0.427,24.643841377925128,0.16483004,0.22243036,0.25447191
lastfm-asia,lgn,10,Country,proportional,1.0,"{""0"": 0.3469721767594108, ""17"": 0.48870703764320783, ""3"": 0.16432078559738134}",2,2229,9,0.1,0.01,[100],40,0.414,24.645587582024746,0.18573913,0.24885306,0.29653487
lastfm-asia,lgn,10,Country,proportional,1.0,"{""0"": 0.3469721767594108, ""17"": 0.48870703764320783, ""3"": 0.16432078559738134}",2,2230,10,0.1,0.01,[100],40,0.414,25.70025088696275,0.18577075,0.24872537,0.29660276
lastfm-asia,lgn,10,Country,proportional,1.0,"{""0"": 0.3469721767594108, ""17"": 0.48870703764320783, ""3"": 0.16432078559738134}",2,2231,11,0.1,0.01,[100],40,0.414,24.605823162011802,0.1852332,0.2482155,0.29519634
lastfm-asia,lgn,10,Country,proportional,1.0,"{""0"": 0.3469721767594108, ""17"": 0.48870703764320783, ""3"": 0.16432078559738134}",2,2232,12,0.1,0.01,[100],40,0.415,25.468997286981903,0.18543083,0.24768568,0.29539651
lastfm-asia,lgn,10,Country,proportional,1.0,"{""0"": 0.3469721767594108, ""17"": 0.48870703764320783, ""3"": 0.16432078559738134}",2,2233,13,0.1,0.01,[100],40,0.414,25.39622283098288,0.18570751,0.24890712,0.29582131
lastfm-asia,lgn,10,Country,proportional,1.0,"{""0"": 0.3469721767594108, ""17"": 0.48870703764320783, ""3"": 0.16432078559738134}",2,2234,14,0.1,0.01,[100],40,0.416,24.606467101024464,0.18486957,0.24854077,0.29475397
lastfm-asia,lgn,10,Country,proportional,1.0,"{""0"": 0.3469721767594108, ""17"": 0.48870703764320783, ""3"": 0.16432078559738134}",2,2235,15,0.1,0.01,[100],40,0.426,24.68525450793095,0.17264822,0.21856729,0.26470174
lastfm-asia,lgn,10,Country,proportional,1.0,"{""0"": 0.3469721767594108, ""17"": 0.48870703764320783, ""3"": 0.16432078559738134}",2,2236,16,0.1,0.01,[100],40,0.429,25.542944019078277,0.15996047,0.20425506,0.23433141
