dataset,model,source_label,feature_name,trial_type,alpha_aug,alpha_mix_json,recdim,seed,trial_idx,lr,decay,topks,final_epoch,final_loss,training_time_seconds,precision@100,recall@100,ndcg@100
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",2,2221,1,0.1,0.01,[100],40,0.397,38.90065025095828,0.12555777,0.17972488,0.19896591
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",2,2222,2,0.1,0.01,[100],40,0.395,21.957253969972953,0.12687251,0.1820408,0.1980037
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",2,2223,3,0.1,0.01,[100],40,0.396,22.183851805049926,0.12266932,0.17420726,0.1900626
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",2,2224,4,0.1,0.01,[100],40,0.396,21.806577997049317,0.12589641,0.18105463,0.19555519
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",2,2225,5,0.1,0.01,[100],40,0.395,20.304915032116696,0.12711155,0.18203925,0.19808756
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",2,2226,6,0.1,0.01,[100],40,0.394,21.58437836286612,0.12685259,0.18373069,0.19737302
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",2,2227,7,0.1,0.01,[100],40,0.407,20.441643360070884,0.12105578,0.17463038,0.18914562
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",2,2228,8,0.1,0.01,[100],40,0.403,20.419453764799982,0.12800797,0.18597722,0.20104381
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",2,2229,9,0.1,0.01,[100],40,0.395,20.893205379135907,0.12645418,0.18320843,0.19895688
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",2,2230,10,0.1,0.01,[100],40,0.416,20.644851282937452,0.12149402,0.17559103,0.19010948
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",2,2231,11,0.1,0.01,[100],40,0.394,20.359545656014234,0.12679283,0.18318732,0.19744983
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",2,2232,12,0.1,0.01,[100],40,0.413,21.46812269394286,0.11376494,0.16174448,0.17462603
lastfm-asia,mf,3,Country,proportional,1.0,"{""0"": 0.27763226820324777, ""10"": 0.3313253012048193, ""17"": 0.39104243059193294}",2,2233,13,0.1,0.01,[100],40,0.412,20.72109282319434,0.1189243,0.1643874,0.18482789
