dataset,model,source_label,feature_name,trial_type,alpha_aug,alpha_mix_json,recdim,seed,trial_idx,lr,decay,topks,final_epoch,final_loss,training_time_seconds,precision@20,recall@20,ndcg@20
ml-1m,mf,50,Age,proportional,1.0,"{""1"": 0.04004329004329004, ""18"": 0.19895382395382397, ""25"": 0.37806637806637805, ""35"": 0.21518759018759018, ""45"": 0.0992063492063492, ""56"": 0.06854256854256854}",2,2221,1,0.1,0.01,[20],40,0.347,21.451553774997592,0.11300403,0.10245799,0.14573467
ml-1m,mf,50,Age,proportional,1.0,"{""1"": 0.04004329004329004, ""18"": 0.19895382395382397, ""25"": 0.37806637806637805, ""35"": 0.21518759018759018, ""45"": 0.0992063492063492, ""56"": 0.06854256854256854}",2,2222,2,0.1,0.01,[20],40,0.326,12.849638098850846,0.11965726,0.10322135,0.15405815
ml-1m,mf,50,Age,proportional,1.0,"{""1"": 0.04004329004329004, ""18"": 0.19895382395382397, ""25"": 0.37806637806637805, ""35"": 0.21518759018759018, ""45"": 0.0992063492063492, ""56"": 0.06854256854256854}",2,2223,3,0.1,0.01,[20],40,0.347,12.907855395926163,0.11330645,0.10012201,0.14646119
ml-1m,mf,50,Age,proportional,1.0,"{""1"": 0.04004329004329004, ""18"": 0.19895382395382397, ""25"": 0.37806637806637805, ""35"": 0.21518759018759018, ""45"": 0.0992063492063492, ""56"": 0.06854256854256854}",2,2224,4,0.1,0.01,[20],40,0.363,12.753121103858575,0.08951613,0.07650703,0.11005631
ml-1m,mf,50,Age,proportional,1.0,"{""1"": 0.04004329004329004, ""18"": 0.19895382395382397, ""25"": 0.37806637806637805, ""35"": 0.21518759018759018, ""45"": 0.0992063492063492, ""56"": 0.06854256854256854}",2,2225,5,0.1,0.01,[20],40,0.341,12.357013936154544,0.11945565,0.10132962,0.14997311
ml-1m,mf,50,Age,proportional,1.0,"{""1"": 0.04004329004329004, ""18"": 0.19895382395382397, ""25"": 0.37806637806637805, ""35"": 0.21518759018759018, ""45"": 0.0992063492063492, ""56"": 0.06854256854256854}",2,2226,6,0.1,0.01,[20],40,0.335,12.571194621967152,0.11703629,0.1016322,0.14573323
ml-1m,mf,50,Age,proportional,1.0,"{""1"": 0.04004329004329004, ""18"": 0.19895382395382397, ""25"": 0.37806637806637805, ""35"": 0.21518759018759018, ""45"": 0.0992063492063492, ""56"": 0.06854256854256854}",2,2227,7,0.1,0.01,[20],40,0.349,12.19933704403229,0.11129032,0.09653014,0.14173297
ml-1m,mf,50,Age,proportional,1.0,"{""1"": 0.04004329004329004, ""18"": 0.19895382395382397, ""25"": 0.37806637806637805, ""35"": 0.21518759018759018, ""45"": 0.0992063492063492, ""56"": 0.06854256854256854}",2,2228,8,0.1,0.01,[20],40,0.387,12.303511689882725,0.10745968,0.08497017,0.12986585
ml-1m,mf,50,Age,proportional,1.0,"{""1"": 0.04004329004329004, ""18"": 0.19895382395382397, ""25"": 0.37806637806637805, ""35"": 0.21518759018759018, ""45"": 0.0992063492063492, ""56"": 0.06854256854256854}",2,2229,9,0.1,0.01,[20],40,0.353,12.194576628971845,0.11159274,0.09578303,0.14115562
ml-1m,mf,50,Age,proportional,1.0,"{""1"": 0.04004329004329004, ""18"": 0.19895382395382397, ""25"": 0.37806637806637805, ""35"": 0.21518759018759018, ""45"": 0.0992063492063492, ""56"": 0.06854256854256854}",2,2230,10,0.1,0.01,[20],40,0.347,12.554494973039255,0.11179435,0.09905149,0.14217092
ml-1m,mf,50,Age,proportional,1.0,"{""1"": 0.04004329004329004, ""18"": 0.19895382395382397, ""25"": 0.37806637806637805, ""35"": 0.21518759018759018, ""45"": 0.0992063492063492, ""56"": 0.06854256854256854}",2,2231,11,0.1,0.01,[20],40,0.344,12.218227016041055,0.10443548,0.0848472,0.12915355
ml-1m,mf,50,Age,proportional,1.0,"{""1"": 0.04004329004329004, ""18"": 0.19895382395382397, ""25"": 0.37806637806637805, ""35"": 0.21518759018759018, ""45"": 0.0992063492063492, ""56"": 0.06854256854256854}",2,2232,12,0.1,0.01,[20],40,0.348,12.297746871132404,0.10897177,0.09539196,0.14386743
ml-1m,mf,50,Age,proportional,1.0,"{""1"": 0.04004329004329004, ""18"": 0.19895382395382397, ""25"": 0.37806637806637805, ""35"": 0.21518759018759018, ""45"": 0.0992063492063492, ""56"": 0.06854256854256854}",2,2233,13,0.1,0.01,[20],40,0.342,12.258251181803644,0.12429435,0.10559069,0.15607077
ml-1m,mf,50,Age,proportional,1.0,"{""1"": 0.04004329004329004, ""18"": 0.19895382395382397, ""25"": 0.37806637806637805, ""35"": 0.21518759018759018, ""45"": 0.0992063492063492, ""56"": 0.06854256854256854}",2,2234,14,0.1,0.01,[20],40,0.345,12.280397234018892,0.11663306,0.09709876,0.14256539
ml-1m,mf,50,Age,proportional,1.0,"{""1"": 0.04004329004329004, ""18"": 0.19895382395382397, ""25"": 0.37806637806637805, ""35"": 0.21518759018759018, ""45"": 0.0992063492063492, ""56"": 0.06854256854256854}",2,2235,15,0.1,0.01,[20],40,0.342,12.554679309017956,0.11330645,0.09975079,0.1438237
ml-1m,mf,50,Age,proportional,1.0,"{""1"": 0.04004329004329004, ""18"": 0.19895382395382397, ""25"": 0.37806637806637805, ""35"": 0.21518759018759018, ""45"": 0.0992063492063492, ""56"": 0.06854256854256854}",2,2236,16,0.1,0.01,[20],40,0.341,12.108747211983427,0.11875,0.10284734,0.14212069
